def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	1	(NH3)(NH4)C9H8O3+	199.107719		C9H15N2O3	199.0928	199.1225		0.00																		
1	1	C15H19+	199.148127		C15H19	199.1333	199.1630		0.00																		
1	1	C10H16O2S+	200.086552		C10H16SO2	200.0716	200.1014		0.00																		
1	1	(NH4)C8H10N2O3+	200.102968		C8H14N3O3	200.0880	200.1178		0.00																		
1	1	(NH4)C8H12N3O2+	200.126777		C8H16N4O2	200.1119	200.1417		0.00																		
1	1	(NH4)C8H9NS2+	201.051467		C8H13N2S2	201.0364	201.0664		0.00																		
1	1	(NH4)C5H11O7+	201.084303		C5H15NO7	201.0693	201.0993		0.00																		
1	1	(NH4)C6H15O4S+	201.102931		C6H19NSO4	201.0879	201.1179		0.00																		
1	1	(NH4)C10H17NO2+	201.159754		C10H21N2O2	201.1448	201.1748		0.00																		
1	1	(NH4)C12H24O+	202.216541		C12H28NO	202.2015	202.2317		0.00																		
1	1	(NH3)(NH4)C8H8S2+	203.067117		C8H15N2S2	203.0520	203.0823		0.00																		
1	1	(NH3)(NH4)C8H8O4+	203.102633		C8H15N2O4	203.0875	203.1178		0.00																		
1	1	C14H19O+	203.143042		C14H19O	203.1279	203.1582		0.00																		
1	1	(NH3)(NH4)C10H16O2+	203.175404		C10H23N2O2	203.1604	203.1907		0.00																		
1	1	(NH4)C12H26O+	204.232191		C12H30NO	204.2170	204.2474		0.00																		
1	1	(NH3)(NH4)C7H6O5+	205.081898		C7H13N2O5	205.0666	205.0972		0.00																		
1	1	(NH3)(NH4)C8H10O4+	205.118283		C8H17N2O4	205.1030	205.1336		0.00																		
1	1	(NH3)(NH4)C9H14O3+	205.154669		C9H21N2O3	205.1394	205.1700		0.00																		
1	1	(NH3)(NH4)C11H22O+	205.227440		C11H29N2O	205.2121	205.2427		0.00																		
1	1	(NH3)(NH4)C7H8OS2+	207.062032		C7H15N2S2O	207.0466	207.0775		0.00																		
1	1	(NH3)(NH4)C8H12O4+	207.133933		C8H19N2O4	207.1185	207.1494		0.00																		
1	1	(NH3)(NH4)C9H16O3+	207.170319		C9H23N2O3	207.1549	207.1858		0.00																		
1	1	(NH3)(NH4)C10H20O2+	207.206704		C10H27N2O2	207.1912	207.2221		0.00																		
1	1	(NH4)C6H6OS3+	207.991904		C6H10NS3O	207.9764	208.0075		0.00																		
1	1	(NH4)C5H4O4S2+	209.988927		C5H8NS2O4	209.9733	210.0046		0.00										1								
1	1	C10H12NO4+	210.076084		C10H12NO4	210.0605	210.0918		0.00																		
1	1	(NH4)C11H12O3+	210.112470		C11H16NO3	210.0967	210.1280		0.00																		
1	1	(NH4)C12H16O2+	210.148855		C12H20NO2	210.1332	210.1645		0.00																		
1	1	(NH4)C13H20O+	210.185241		C13H24NO	210.1696	210.2010		0.00																		
1	1	(NH3)(NH4)C6H8O2S2+	211.056946		C6H15N2S2O2	211.0412	211.0727		0.00																		
1	1	(NH3)(NH4)C11H12S+	211.126346		C11H19N2S	211.1106	211.1421		0.00																		
1	1	C13H23O2+	211.169256		C13H23O2	211.1535	211.1850		0.00																		
1	1	(NH4)C11H14O3+	212.128120		C11H18NO3	212.1123	212.1440		0.00																		
1	1	(NH4)C12H18O2+	212.164505		C12H22NO2	212.1487	212.1804		0.00																		
1	1	(NH4)C13H22O+	212.200891		C13H26NO	212.1851	212.2168		0.00																		
1	1	(NH3)(NH4)C6H10O4S+	213.090355		C6H17N2SO4	213.0744	213.1062		0.00																		
1	1	(NH3)(NH4)C10H10O3+	213.123369		C10H17N2O3	213.1075	213.1393		0.00																		
1	1	(NH3)(NH4)C11H14O2+	213.159754		C11H21N2O2	213.1439	213.1757		0.00																		
1	1	(NH3)(NH4)C9H22OS+	213.199511		C9H29N2SO	213.1836	213.2154		0.00																		
1	1	(NH4)C6H12O5S+	214.074370		C6H16NSO5	214.0584	214.0903		0.00																		
1	1	(NH4)C10H12O4+	214.107384		C10H16NO4	214.0914	214.1233		0.00																		
1	1	(NH4)C11H16O3+	214.143770		C11H20NO3	214.1278	214.1597		0.00																		
1	1	(NH4)C12H20O2+	214.180155		C12H24NO2	214.1642	214.1961		0.00																		
1	1	(NH4)C13H24O+	214.216541		C13H28NO	214.2006	214.2325		0.00																		
1	1	(NH3)(NH4)C5H8O5S+	215.069619		C5H15N2SO5	215.0536	215.0857		0.00																		
1	1	(NH3)(NH4)C9H8O4+	215.102633		C9H15N2O4	215.0866	215.1187		0.00																		
1	1	(NH3)(NH4)C7H16O3S+	215.142390		C7H23N2SO3	215.1263	215.1584		0.00																		
1	1	C16H23+	215.179427		C16H23	215.1634	215.1955		0.00																		
1	1	(NH4)C9H11O3S+	217.076716		C9H15NSO3	217.0606	217.0930		0.00																		
1	1	(NH3)(NH4)C9H10O4+	217.118283		C9H17N2O4	217.1021	217.1345		0.00																		
1	1	(NH3)(NH4)C10H14O3+	217.154669		C10H21N2O3	217.1385	217.1709		0.00																		
1	1	(NH3)(NH4)C12H22O+	217.227440		C12H29N2O	217.2112	217.2436		0.00																		
1	1	(NH4)C12H24O2+	218.211456		C12H28NO2	218.1952	218.2277		0.00																		
1	1	(NH3)(NH4)C8H8OS2+	219.062032		C8H15N2S2O	219.0457	219.0783		0.00																		
1	1	(NH3)(NH4)C8H8O5+	219.097548		C8H15N2O5	219.0812	219.1139		0.00																		
1	1	(NH3)(NH4)C9H12O4+	219.133933		C9H19N2O4	219.1176	219.1502		0.00																		
